"STATE","TEXT"
"NC","I would give Carolina Auto Repair no stars if possible. 
I took my car here for a simple oil change. When I picked my car up and started to drive home my hood flew open and broke my windshield also destroyed my hood.
John (the owner) refused to pay for the damages even though it was clearly his fault. He was very disrespectful to my father and I while lying about who actually did the work on my car.
We are now going to sue him for damages."
"NC","I've taken my car here several times now, only for my yearly inspections, but they always get me in and out quickly. It's been the same folks every time i've been there. They are super friendly and seem to be trustworthy and reliable. It's the kind of place where people keep coming back. 

It's a small building, i think just the 2 car garage. Not even sure of the range of services offered, but if it's not something he can fix, he'll let you know without faking it and charging you for something unnecessarily (saw him check under a guy's hood while i was waiting and tell him where to take he needed to take it)."
"NC","John (owner) is someone I trust my families safety to.  I know that when he tells me something, it is the truth.  He is good at what he does and does not charge you a fortune to fix it. He has inspected a problem with my car and told me to take it to a specialist to get it fixed.  John is a good chirstian man and he will NOT do you wrong."
"NC","The eggplant Parmesan is FABULOUS!   My friend always has the pizza and says it is really good.  Service is friendly.  Its clean.  Local place that I will continue to come back to again and again!"
"NC","Don't waste your time or money.  My salad had a rotten tomato and a hair (not mine).  My waitress never offered another hairless salad even if I had wanted one.  The broiled flounder wasn't very hot and neither were my steamed veggies.  Both were SO BLAND I could have prepared a better version at home.  My mom had spaghetti with meat sauce and said it was just mediocre.  The owner asked how our meal was when I paid and insisted they use fresh tomatoes.  I'm sure they do but I had to spit mine out.  She discounted our drinks but I'll never be back!"
"NC","Tasty food, good pizza and reasonable prices for a non-chain small business.  I've always done take out but when picking up have noticed the interior is probably exactly the same as when it opened many decades ago.  I guess that adds charm for some and is a detractor to others.  Nonetheless, I'm happy to see a small business still in business and will continue to order from them"
"NC","the food is really good and homemade. pizza really good, owner makes incredible homemade desserts, friendly staff.  nice non-chain restaurant"
"NC","All I wanted was a quick burger to take out, and I never got to even order. Sunday night at 7 PM shouldn't be peak dining time, but the drive thru line was 10 cars long. So in to the lobby I went, and waited in line inside rather than out. I waited, and waited, then waited a little more. After 5 minutes without getting closer to the register, I gave up. That was enough for me. In the end, I probably added a year to my life skipping my order anyway."
"NC","I have been to this location maybe 10 times in the past few years and every time I go through the drive through the order is wrong. No fries, no salad dressing with salad, no fork, and the last straw was at the bottom of my chili bowl it was about a 6in piece of paper. Avoid!!"
"NC","3x. So far so good."
"NC","Worst wendy's I have ever been to in my travels all over the USA. Normally Wendy's is at the top of my fast food list. This particular location is HORRIBLE. AVOID !!!"
"NC","I love Wendy's in NC they have the Carolina Classic sandwich"
"NC","This is a Pizza Hut/Wing Street. i hate to review chains unless something really stands out, but i figure there should be at least one review saying it's not a shit hole. 

Pizza Hut is an old family favorite, surprisingly for their spaghetti, so with my mom in town we tried the local Belmont location. Some locations have different bread sticks then i am used to, but this one had the delicious, garlic covered ones. Spaghetti with meat sauce was good as expected with excellent garlic bread. 

It seems like a smaller dining room, i'm not sure what was around the one wall, may have been more seating. Service was friendly enough, no complaints."
"NC","Came to pick up 12 pizzas for an event. Staff welcomed me and made small talk while we waited. Pizzas were hot and fresh and the place was immaculately clean. Good specials too."
"NC","Smells

Good service, good food but the place smells like an old, musty motel room. I'm local and have been there several times and it always smells. There's almost a ""needs cleaning"" public bathroom tinge to it as well. 

You'll know; stop where the little foyer ends about 15' inside the front door and inhale through your nose.

It's an old place so it's time for renovation or replacement."
"NC","I get take-out from here occasionally, purely out of convenience and lack of competition.  During my last pick-up, the evening of 6-22-12, I witnessed a patron quietly complaining about the confusion and lack of separation between those waiting to pay, waiting for an order, and waiting to be seated.  The front waiting area was in mass confusion.  The response from the manager on duty was to insult the patron, saying ""grown men should be able to wait on pizza, and basically, I don't care"".  This is not an acceptable response for management.  
The quality of our pizza is mediocre at best, with the toppings being more than 2 inches from the edge on a hand tossed pizza.  The lady at the register was friendly as usual.
This Pizza Hut is not a top choice, but ok in a pinch."
"NC","Simple, cheap. This place probably hasn't changed for decades. 

There really isn't a formal menu..just a list of what they offer on the wall. Your waitress will tell you what everything costs, but it's so reasonable..just order what you want.

I usually get the two egg breakfast: eggs made to order, grits, toast-or-biscuit and a meat. Plus coffee. And it's only $4.50! 

Note - they only take cash and close around 1:30 pm"
"NC","Best breakfast in Belmont....love love love the White's"
"NC","Greasy spoon in Belmont! Quick, cheap, and tasty :)  The type of place with loyal regulars.  Great country ham and eggs.  No muss, no fuss, just how a breakfast spot like this should be!"
